signal_index,signal_time,entry_price,session,a_open,a_high,a_low,a_close,a_bb_touch_strength,a_bb_position,a_bb_width_pct,a_rsi_value,a_rsi_divergence,a_volume_ratio,a_candle_rejection,a_candle_body_pct,a_atr_pct,a_trend_strength,a_prev_candle_body_pct,a_prev_volume_ratio,a_gap_from_prev_close,a_price_momentum,a_prev_was_selloff,a_previous_touches,a_time_since_last_touch,a_support_distance_pct,b_open,b_high,b_low,b_close,b_bb_touch_strength,b_bb_position,b_bb_width_pct,b_rsi_value,b_rsi_divergence,b_volume_ratio,b_candle_rejection,b_candle_body_pct,b_atr_pct,b_trend_strength,b_prev_candle_body_pct,b_prev_volume_ratio,b_gap_from_prev_close,b_price_momentum,b_prev_was_selloff,b_previous_touches,b_time_since_last_touch,b_support_distance_pct,c_open,c_high,c_low,c_close,c_bb_touch_strength,c_bb_position,c_bb_width_pct,c_rsi_value,c_rsi_divergence,c_volume_ratio,c_candle_rejection,c_candle_body_pct,c_atr_pct,c_trend_strength,c_prev_candle_body_pct,c_prev_volume_ratio,c_gap_from_prev_close,c_price_momentum,c_prev_was_selloff,c_previous_touches,c_time_since_last_touch,c_support_distance_pct,exit_index,final_pnl_pips,hit_tp_first,hit_sl_first,is_profitable
24899,2015-09-11 08:00:00,1.12818,1,1.12794,1.13017,1.12696,1.12823,1.01333,1.053972,1.363729,64.724396,0,0.533096,-3.37931,0.025704,0.395906,0.535214,0.150715,1.041463,-0.001773,0.127941,0,0,31,4.274838,1.12824,1.12847,1.12737,1.12818,1.013755,0.971606,1.479647,64.603223,0,0.579718,-13.5,-0.005318,0.374608,0.535704,0.025704,0.533096,0.000886,0.036381,0,0,32,4.270595,1.12818,1.13096,1.12748,1.12851,1.013693,0.929975,1.559754,65.068047,0,0.952647,-2.121212,0.029242,0.369775,0.528569,-0.005318,0.579718,0.0,0.009757,0,0,33,4.298588,24901,10.0,0,1,1
24929,2015-09-18 04:00:00,1.1402,3,1.13102,1.14408,1.12941,1.14382,1.006511,1.350888,1.422384,69.865021,0,2.04725,-0.125781,1.119057,0.392894,0.659439,-0.057471,1.273537,0.000884,-0.061941,0,3,7,5.579549,1.14382,1.14386,1.13899,1.14021,1.015628,1.023272,1.620371,63.357519,0,0.591107,-0.33795,-0.316608,0.396494,0.683681,1.119057,2.04725,0.0,0.84823,0,3,8,5.280606,1.1402,1.14184,1.13911,1.13953,1.01611,0.930153,1.756644,62.182595,0,0.878596,-0.626866,-0.058796,0.385505,0.703329,-0.316608,0.591107,-0.000877,0.010536,0,3,9,5.224084,24930,-30.0,0,1,0
24930,2015-09-18 08:00:00,1.13953,1,1.14382,1.14386,1.13899,1.14021,1.015628,1.023272,1.620371,63.357519,0,0.591107,-0.33795,-0.316608,0.396494,0.683681,1.119057,2.04725,0.0,0.84823,0,3,8,5.280606,1.1402,1.14184,1.13911,1.13953,1.01611,0.930153,1.756644,62.182595,0,0.878596,-0.626866,-0.058796,0.385505,0.703329,-0.316608,0.591107,-0.000877,0.010536,0,3,9,5.224084,1.13953,1.14335,1.13936,1.1432,1.016981,1.014515,1.991577,65.862107,0,1.076898,-0.046322,0.321029,0.381749,0.716983,-0.058796,0.878596,0.0,0.021947,0,3,10,5.528341,24930,-30.0,0,1,0
25044,2015-10-14 16:00:00,1.14048,1,1.13882,1.14271,1.1383,1.14144,1.004095,1.098244,0.62316,68.476019,0,1.133157,-0.198473,0.229535,0.275045,0.421884,0.044784,0.584181,0.000878,0.0,0,0,56,5.382675,1.14143,1.14178,1.13911,1.14049,1.004407,0.929881,0.602956,65.016244,0,1.564819,-1.468085,-0.082421,0.272334,0.458527,0.229535,1.133157,-0.000876,0.071159,0,0,57,5.303861,1.14048,1.14475,1.14048,1.14359,1.006011,1.167042,0.747327,70.291183,0,2.137538,0.0,0.271951,0.278866,0.4758,-0.082421,1.564819,-0.000877,0.120269,0,0,58,5.560559,25044,-30.0,0,1,0
25047,2015-10-15 04:00:00,1.14734,3,1.14359,1.14889,1.14337,1.14848,1.009742,1.303593,1.087588,76.349181,0,1.263634,-0.04499,0.42578,0.292176,0.510919,0.271951,2.137538,0.0,0.253402,0,0,59,5.962664,1.14848,1.14853,1.14684,1.14734,1.013101,1.077666,1.248799,72.63087,0,0.505589,-0.438596,-0.09936,0.282097,0.545178,0.42578,1.263634,0.0,0.303489,0,0,60,5.869228,1.14734,1.14902,1.14612,1.14807,1.012632,1.025847,1.389637,73.520192,0,0.816895,-1.671233,0.063585,0.279823,0.57898,-0.09936,0.505589,0.0,-0.062781,0,0,61,5.929081,25048,40.0,1,0,1
25176,2015-11-13 04:00:00,1.08038,3,1.07669,1.08301,1.07633,1.08091,1.007259,1.116449,1.028806,56.87019,0,1.178828,-0.085308,0.390412,0.386603,-2.762335,0.426311,2.005047,0.000929,0.400172,0,1,3,0.084188,1.08092,1.0823,1.08005,1.08038,1.011091,1.000981,1.132393,55.85141,0,0.626466,-0.611111,-0.049982,0.37404,-2.783581,0.390412,1.178828,0.000925,0.345619,0,1,4,0.035173,1.08038,1.08042,1.07847,1.0792,1.00977,0.867945,1.197183,53.551259,0,0.610964,-0.618644,-0.10934,0.360609,-2.805912,-0.049982,0.626466,0.0,-0.14629,0,1,5,0.389177,25177,40.0,1,0,1
25177,2015-11-13 08:00:00,1.0792,1,1.08092,1.0823,1.08005,1.08038,1.011091,1.000981,1.132393,55.85141,0,0.626466,-0.611111,-0.049982,0.37404,-2.783581,0.390412,1.178828,0.000925,0.345619,0,1,4,0.035173,1.08038,1.08042,1.07847,1.0792,1.00977,0.867945,1.197183,53.551259,0,0.610964,-0.618644,-0.10934,0.360609,-2.805912,-0.049982,0.626466,0.0,-0.14629,0,1,5,0.389177,1.0792,1.07921,1.07539,1.07558,1.006884,0.58592,1.198017,47.137665,0,0.978011,-0.052486,-0.336563,0.361347,-2.841072,-0.10934,0.610964,0.0,-0.28559,0,1,6,0.053924,25178,20.0,0,1,1
25206,2015-11-20 00:00:00,1.07329,3,1.0695,1.07628,1.06684,1.07461,1.005321,1.069863,1.174815,58.755055,0,1.859821,-0.520548,0.475521,0.381948,-3.080373,0.064517,1.300951,0.000935,-0.083354,0,3,14,0.428993,1.07461,1.07491,1.07166,1.07329,1.0099,0.959452,1.184919,56.138959,0,0.773812,-1.234848,-0.122986,0.376731,-3.067843,0.475521,1.859821,0.0,0.451802,0,3,15,0.306534,1.07329,1.07382,1.07139,1.07159,1.0097,0.81653,1.203747,52.87377,0,0.50674,-0.117647,-0.158643,0.366574,-3.056276,-0.122986,0.773812,0.0,-0.025195,0,3,16,0.148378,25208,10.0,0,1,1
25257,2015-12-02 04:00:00,1.06241,3,1.06183,1.06369,1.06094,1.06318,1.00525,1.02608,0.715967,59.762972,0,0.935899,-0.659259,0.126978,0.24844,-2.28695,0.174226,2.086107,-0.000942,0.119849,0,5,6,0.0,1.06318,1.06355,1.0621,1.06242,1.006465,0.892425,0.755495,56.844564,0,0.548609,-0.421053,-0.071535,0.240608,-2.271244,0.126978,0.935899,0.0,0.109337,0,5,7,0.0,1.06241,1.06262,1.06131,1.06137,1.005742,0.749309,0.770915,52.994194,0,0.578174,-0.057692,-0.097987,0.232458,-2.25844,-0.071535,0.548609,-0.000941,-0.074381,0,5,8,0.0,25259,0.0,0,1,0
25269,2015-12-04 04:00:00,1.09197,3,1.09002,1.09807,1.08965,1.09496,1.04463,1.284675,3.796813,81.920278,0,1.530498,-0.074899,0.451158,0.545791,-1.832852,2.155904,2.526162,-0.000917,2.353958,0,4,2,1.36626,1.09497,1.09587,1.0914,1.09195,1.047752,1.073739,4.397565,76.98394,0,0.777904,-0.182119,-0.276569,0.537442,-1.763478,0.451158,1.530498,0.000913,0.160602,0,3,3,1.094372,1.09197,1.09453,1.08993,1.09394,1.047268,1.015061,4.912557,77.93077,0,0.775221,-1.035533,0.180083,0.528182,-1.685051,-0.276569,0.777904,0.001832,-0.134689,0,2,4,1.274293,25270,10.0,0,1,1
