combo_index,min_rsi_a,overextension_mode,min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
53,55.0,high_above_ubb,95.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
2,55.0,touch_only,85.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
11,55.0,touch_only,90.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
20,55.0,touch_only,95.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
29,55.0,high_above_ubb,85.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
38,55.0,high_above_ubb,90.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
47,55.0,high_above_ubb,95.0,6,2,5.0,1486,696,790,46.84,1703.4,1.15,1.107,1424.2,1.15
223,60.0,close_above_ubb,85.0,10,2,3.0,675,326,349,48.3,736.5,1.09,1.104,725.2,1.09
232,60.0,close_above_ubb,90.0,10,2,3.0,675,326,349,48.3,736.5,1.09,1.104,725.2,1.09
241,60.0,close_above_ubb,95.0,10,2,3.0,675,326,349,48.3,736.5,1.09,1.104,725.2,1.09
220,60.0,close_above_ubb,85.0,8,2,3.0,675,327,348,48.44,733.2,1.09,1.104,727.7,1.09
229,60.0,close_above_ubb,90.0,8,2,3.0,675,327,348,48.44,733.2,1.09,1.104,727.7,1.09
238,60.0,close_above_ubb,95.0,8,2,3.0,675,327,348,48.44,733.2,1.09,1.104,727.7,1.09
217,60.0,close_above_ubb,85.0,6,2,3.0,675,324,351,48.0,704.6,1.04,1.1,750.1,1.04
226,60.0,close_above_ubb,90.0,6,2,3.0,675,324,351,48.0,704.6,1.04,1.1,750.1,1.04
235,60.0,close_above_ubb,95.0,6,2,3.0,675,324,351,48.0,704.6,1.04,1.1,750.1,1.04
222,60.0,close_above_ubb,85.0,8,2,8.0,680,324,356,47.65,664.6,0.98,1.1,777.7,0.98
231,60.0,close_above_ubb,90.0,8,2,8.0,680,324,356,47.65,664.6,0.98,1.1,777.7,0.98
240,60.0,close_above_ubb,95.0,8,2,8.0,680,324,356,47.65,664.6,0.98,1.1,777.7,0.98
221,60.0,close_above_ubb,85.0,8,2,5.0,677,324,353,47.86,677.3,1.0,1.098,751.4,1.0
230,60.0,close_above_ubb,90.0,8,2,5.0,677,324,353,47.86,677.3,1.0,1.098,751.4,1.0
239,60.0,close_above_ubb,95.0,8,2,5.0,677,324,353,47.86,677.3,1.0,1.098,751.4,1.0
219,60.0,close_above_ubb,85.0,6,2,8.0,680,321,359,47.21,645.9,0.95,1.097,756.9,0.95
