combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
108,60.0,True,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
109,60.0,False,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
110,60.0,True,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
111,60.0,False,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
113,60.0,False,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
112,60.0,True,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
114,60.0,True,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
115,60.0,False,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
116,60.0,True,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
117,60.0,False,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
119,60.0,False,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
118,60.0,True,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
120,60.0,True,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
121,60.0,False,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
122,60.0,True,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
123,60.0,False,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
124,60.0,True,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
