timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,model_prediction,model_confidence,model_signal_raw,signal_strength,signal_strength_value,model_signal
2025.08.05 04:00:00,AUDUSD,0.64723,0.6474,0.64536,0.64643,13279,0.641791,0.645732,0.649673,1.005561,0.588555,1.220645,46.63955,0,0.65499,-1.3375,-0.123757,0.356302,-0.247614,0.151414,0.554912,0.0,-0.095978,0,2,18,0.0,3,0,0.14693107557353574,0,None,0,0
2025.08.05 08:00:00,AUDUSD,0.64643,0.64719,0.64498,0.64528,20159,0.641891,0.645782,0.649673,1.004813,0.435495,1.205098,43.42142,0,0.97051,-0.26087,-0.178217,0.355905,-0.290393,-0.123757,0.65499,0.0,-0.058882,0,1,19,0.0,1,0,0.1815517210944576,0,None,0,0
2025.08.05 12:00:00,AUDUSD,0.64528,0.64683,0.64511,0.64654,20375,0.64189,0.645771,0.649652,1.005017,0.599066,1.202055,47.680993,1,0.976764,-0.134921,0.194884,0.348841,-0.335463,-0.178217,0.97051,0.0,0.020156,0,0,20,0.0,1,1,0.6921555108449162,1,Medium,2,1
2025.08.05 16:00:00,AUDUSD,0.64655,0.64781,0.64543,0.64752,32606,0.641904,0.645859,0.649814,1.005494,0.709967,1.224842,50.784524,1,1.525149,-1.154639,0.149802,0.349688,-0.379741,0.194884,0.976764,0.001547,0.049604,0,0,21,0.0,1,1,0.5212864845136005,0,Weak,1,0
2025.08.05 20:00:00,AUDUSD,0.64752,0.64786,0.64655,0.64724,12234,0.642125,0.646023,0.649921,1.006892,0.656089,1.206895,49.874214,0,0.586709,-2.464286,-0.043261,0.339308,-0.421814,0.149802,1.525149,0.0,0.173528,0,0,22,0.0,2,0,0.28000688252360695,0,None,0,0
2025.08.06 00:00:00,AUDUSD,0.64635,0.6482,0.64597,0.64768,7764,0.642512,0.646247,0.649982,1.005382,0.691821,1.155985,51.349989,0,0.391358,-0.285714,0.205348,0.339451,-0.460359,-0.043261,0.586709,-0.137507,-0.089707,0,0,23,0.0,3,1,0.5474508100755141,0,Weak,1,0
2025.08.06 04:00:00,AUDUSD,0.64769,0.6495,0.64715,0.64933,13024,0.643045,0.646589,0.650133,1.006384,0.886674,1.096316,56.519712,0,0.659373,-0.329268,0.252568,0.340254,-0.489897,0.205348,0.391358,0.001544,0.182671,0,0,24,0.0,3,0,0.45594327807556034,0,None,0,0
2025.08.06 08:00:00,AUDUSD,0.64933,0.64958,0.64842,0.64912,15889,0.643555,0.646888,0.650221,1.007559,0.834866,1.030373,55.708331,0,0.794005,-3.333333,-0.032351,0.328817,-0.522176,0.252568,0.659373,0.0,0.196245,0,0,25,0.0,1,0,0.24011430743875345,0,None,0,0
2025.08.06 12:00:00,AUDUSD,0.64907,0.65076,0.64902,0.65035,17366,0.643929,0.647226,0.650523,1.007906,0.973736,1.01887,59.385986,0,0.862866,-0.039062,0.196817,0.323863,-0.542885,-0.032351,0.794005,-0.007703,0.092533,0,0,26,0.0,1,1,0.5721082453916848,0,Weak,1,0
2025.08.06 16:00:00,AUDUSD,0.65035,0.6508,0.64884,0.64985,28285,0.644991,0.647604,0.650216,1.005968,0.929943,0.806838,57.303049,0,1.367142,-2.02,-0.076941,0.322505,-0.565631,0.196817,0.862866,0.0,-0.027734,0,0,27,0.0,1,0,0.1947482130089779,0,None,0,0
2025.08.06 20:00:00,AUDUSD,0.64985,0.65092,0.64966,0.65033,13917,0.644849,0.647714,0.650579,1.007461,0.956495,0.884746,58.797135,0,0.695261,-0.395833,0.073809,0.313087,-0.583496,-0.076941,1.367142,0.0,0.126379,0,0,28,0.0,2,1,0.6730602491651119,1,Medium,2,1
2025.08.07 00:00:00,AUDUSD,0.65033,0.65064,0.64962,0.64967,8533,0.645144,0.647927,0.650709,1.006938,0.813302,0.858882,55.900575,0,0.479932,-0.075758,-0.10159,0.302233,-0.606593,0.073809,0.695261,0.0,-0.006157,0,0,29,0.0,3,0,0.128429539635777,0,None,0,0
2025.08.07 04:00:00,AUDUSD,0.64965,0.65177,0.64958,0.65168,15438,0.644934,0.648144,0.651353,1.007204,1.050894,0.990454,62.034667,0,0.887782,-0.034483,0.311503,0.303784,-0.624348,-0.10159,0.479932,-0.003078,-0.006157,0,0,30,0.0,3,1,0.6253020922411655,0,Weak,1,0
2025.08.07 08:00:00,AUDUSD,0.65167,0.65416,0.65114,0.65311,20295,0.644582,0.648429,0.652276,1.010174,1.108398,1.186556,65.691033,0,1.15228,-0.368056,0.220484,0.314496,-0.645534,0.311503,0.887782,-0.001534,0.240155,0,0,31,0.0,1,0,0.47620540202623923,0,None,0,0
2025.08.07 12:00:00,AUDUSD,0.65311,0.65328,0.65168,0.65252,23507,0.644408,0.648645,0.652881,1.011285,0.957352,1.306382,62.995333,0,1.314989,-1.423729,-0.090419,0.30981,-0.668003,0.220484,1.15228,0.0,0.082931,0,0,32,0.0,1,0,0.18938122097845989,0,None,0,0
2025.08.07 16:00:00,AUDUSD,0.65252,0.65303,0.64893,0.65009,31659,0.644498,0.64876,0.653022,1.006877,0.656023,1.31395,53.294922,0,1.719019,-0.477366,-0.373794,0.333805,-0.684674,-0.090419,1.314989,0.0,-0.421986,0,0,33,0.0,1,0,0.17530844601246667,0,None,0,0
2025.08.07 20:00:00,AUDUSD,0.65008,0.65258,0.64946,0.65229,19389,0.644451,0.648968,0.653485,1.007773,0.867697,1.39215,59.391667,1,1.058482,-0.280543,0.338806,0.343082,-0.69591,-0.373794,1.719019,-0.001538,0.081673,1,0,34,0.0,2,1,0.7322428292533232,1,Medium,2,1
2025.08.08 00:00:00,AUDUSD,0.65158,0.6528,0.65078,0.65213,8764,0.644691,0.649253,0.653814,1.009444,0.815438,1.405035,58.790599,0,0.504596,-1.454545,0.084339,0.340779,-0.702306,0.338806,1.058482,-0.108847,0.203246,0,0,35,0.0,3,0,0.49116311331301704,0,None,0,0
2025.08.08 04:00:00,AUDUSD,0.65213,0.65248,0.65109,0.65219,13202,0.64496,0.649529,0.654098,1.009505,0.791175,1.406992,58.95834,0,0.759777,-17.333333,0.0092,0.331632,-0.706681,0.084339,0.504596,0.0,0.047635,0,0,36,0.0,3,0,0.4495542628695326,0,None,0,0
2025.08.08 08:00:00,AUDUSD,0.65219,0.6535,0.6516,0.65193,16995,0.645208,0.649764,0.65432,1.009906,0.737724,1.402266,57.859277,0,0.963763,-1.269231,-0.039882,0.328885,-0.70819,0.0092,0.759777,0.0,0.07833,0,0,37,0.0,1,0,0.22498472119411658,0,None,0,0
2025.08.08 12:00:00,AUDUSD,0.65193,0.65269,0.65141,0.65169,17890,0.645668,0.650027,0.654386,1.008892,0.690776,1.341024,56.806591,0,1.001425,-1.166667,-0.036827,0.319535,-0.712056,-0.039882,0.963763,0.0,-0.029159,0,0,38,0.0,1,0,0.2629666076739472,0,None,0,0
2025.08.08 16:00:00,AUDUSD,0.6517,0.65312,0.65164,0.65251,20139,0.64649,0.650388,0.654287,1.007966,0.772075,1.198894,59.516712,0,1.127379,-0.074074,0.124136,0.312539,-0.709575,-0.036827,1.001425,0.001534,0.035308,0,0,39,0.0,1,1,0.5671337275641298,0,Weak,1,0
2025.08.08 20:00:00,AUDUSD,0.65251,0.65323,0.65187,0.65191,10921,0.647134,0.650657,0.65418,1.007319,0.677824,1.082951,56.712739,0,0.627974,-0.066667,-0.092037,0.305383,-0.70486,0.124136,1.127379,0.0,0.035296,0,0,40,0.0,2,0,0.13864533110306587,0,None,0,0
2025.08.11 00:00:00,AUDUSD,0.65195,0.65232,0.65134,0.65162,7332,0.647628,0.650862,0.654096,1.005732,0.617175,0.993903,55.355283,0,0.454637,-0.848485,-0.050643,0.294439,-0.704053,-0.092037,0.627974,0.006136,-0.081305,0,0,41,0.0,3,0,0.21994874329352065,0,None,0,0
2025.08.11 04:00:00,AUDUSD,0.65162,0.65286,0.6513,0.65243,14221,0.648282,0.651122,0.653961,1.004655,0.730444,0.872058,58.353707,1,0.876406,-0.395062,0.124151,0.290147,-0.701401,-0.050643,0.454637,0.0,-0.006141,0,0,42,0.0,3,1,0.5647680872968011,0,Weak,1,0
2025.08.11 08:00:00,AUDUSD,0.65243,0.65288,0.65136,0.65212,16189,0.648957,0.651344,0.65373,1.003702,0.662708,0.732695,56.781918,0,0.972444,-2.451613,-0.047537,0.286199,-0.704694,0.124151,0.876406,0.0,0.009212,0,0,43,0.0,1,0,0.20562187506255988,0,None,0,0
2025.08.11 12:00:00,AUDUSD,0.6521,0.65233,0.65012,0.65066,18227,0.649183,0.65141,0.653637,1.001443,0.331599,0.683695,49.956991,0,1.078017,-0.375,-0.221314,0.290614,-0.708219,-0.047537,0.972444,-0.003067,-0.190371,0,0,44,0.0,1,0,0.13063622233890532,0,None,0,0
2025.08.11 16:00:00,AUDUSD,0.65066,0.65166,0.65006,0.65122,21551,0.649547,0.651515,0.653483,1.00079,0.425051,0.604133,52.32404,0,1.253621,-1.071429,0.085992,0.287173,-0.705414,-0.221314,1.078017,0.0,-0.009229,0,0,45,0.0,1,1,0.696357781604614,1,Medium,2,1
2025.08.11 20:00:00,AUDUSD,0.65122,0.65163,0.6507,0.65131,11980,0.649665,0.651563,0.653461,1.001592,0.433336,0.58247,52.711174,0,0.707967,-5.777778,0.013818,0.276823,-0.692834,0.085992,1.253621,0.0,0.098452,0,0,46,0.0,2,1,0.5167148295352311,0,Weak,1,0
2025.08.12 00:00:00,AUDUSD,0.65058,0.65219,0.65058,0.65177,6898,0.649931,0.651659,0.653387,1.000998,0.53212,0.530308,54.734337,0,0.435141,0.0,0.18258,0.274513,-0.67464,0.013818,0.707967,-0.112082,-0.018442,0,0,47,0.0,3,1,0.5370404472997339,0,Weak,1,0
2025.08.12 04:00:00,AUDUSD,0.65172,0.65259,0.64999,0.65147,14464,0.650095,0.651716,0.653337,0.999838,0.424105,0.497351,53.137639,0,0.910848,-5.92,-0.038375,0.283529,-0.650091,0.18258,0.435141,-0.007671,-0.090688,0,1,0,0.0,3,0,0.3687381810563325,0,None,0,0
2025.08.12 08:00:00,AUDUSD,0.65148,0.65171,0.64895,0.64929,23497,0.649975,0.651697,0.653419,0.998423,-0.198934,0.528438,43.261552,0,1.413107,-0.155251,-0.337292,0.294524,-0.634778,-0.038375,0.910848,0.001535,-0.160002,0,2,0,0.0,1,0,0.08587925317419817,0,None,0,0
2025.08.12 12:00:00,AUDUSD,0.6493,0.65125,0.64816,0.65052,27499,0.649842,0.651639,0.653436,0.997411,0.188614,0.551473,49.018932,0,1.595907,-0.934426,0.187542,0.306898,-0.620657,-0.337292,1.413107,0.00154,-0.121735,0,3,0,0.0,1,1,0.8226799411507238,1,Strong,3,1
2025.08.12 16:00:00,AUDUSD,0.6505,0.65404,0.64898,0.65311,41234,0.649842,0.651639,0.653436,0.998673,0.909337,0.551473,58.555528,1,2.255948,-0.582375,0.399626,0.339187,-0.594639,0.187542,1.595907,-0.003074,0.126512,0,4,0,0.0,1,1,0.7020343170953428,1,Medium,2,1
2025.08.12 20:00:00,AUDUSD,0.65311,0.65345,0.65259,0.65291,11867,0.649816,0.651659,0.653501,1.004269,0.839618,0.565484,57.658588,0,0.670607,-1.6,-0.030632,0.324464,-0.56651,0.399626,2.255948,0.0,0.556258,0,4,1,0.0,2,0,0.3237884413585394,0,None,0,0
2025.08.13 00:00:00,AUDUSD,0.65233,0.65316,0.65215,0.65254,7655,0.650049,0.651781,0.653513,1.003231,0.71917,0.531323,55.951089,0,0.46406,-0.857143,0.032182,0.312514,-0.535914,-0.030632,0.670607,-0.088833,-0.067424,0,4,2,0.0,3,1,0.6709825434207148,1,Medium,2,1
2025.08.13 04:00:00,AUDUSD,0.65254,0.65345,0.65161,0.65316,12899,0.650003,0.651825,0.653646,1.002473,0.866523,0.559,58.185671,0,0.797653,-1.5,0.094923,0.310038,-0.501615,0.032182,0.46406,0.0,-0.082803,0,4,3,0.0,3,1,0.5351201809245927,0,Weak,1,0
2025.08.13 08:00:00,AUDUSD,0.65316,0.65551,0.6527,0.65506,19740,0.649667,0.651971,0.654275,1.004669,1.170362,0.706773,64.182278,0,1.180622,-0.242105,0.29005,0.317698,-0.463484,0.094923,0.797653,0.0,0.167278,0,4,4,0.0,1,1,0.5239143871260565,0,Weak,1,0
2025.08.13 12:00:00,AUDUSD,0.65507,0.65629,0.65419,0.65447,17640,0.649536,0.652085,0.654634,1.007165,0.96789,0.7817,61.24507,0,1.041206,-0.466667,-0.091677,0.318191,-0.430845,0.29005,1.180622,0.001527,0.228283,0,4,5,0.0,1,0,0.15148949986942778,0,None,0,0
2025.08.13 16:00:00,AUDUSD,0.65447,0.65583,0.65415,0.65435,22803,0.649475,0.652206,0.654937,1.007198,0.892529,0.837469,60.637253,0,1.323271,-1.666667,-0.018339,0.313856,-0.39352,-0.091677,1.041206,0.0,-0.006114,0,4,6,0.0,1,0,0.440720224939373,0,None,0,0
2025.08.13 20:00:00,AUDUSD,0.65435,0.65467,0.65382,0.65457,10630,0.649445,0.65235,0.655255,1.006737,0.88208,0.890673,61.393713,0,0.630139,-2.409091,0.03361,0.300615,-0.373711,-0.018339,1.323271,0.0,-0.050447,0,4,7,0.0,2,1,0.640144416915414,0,Weak,1,0
2025.08.14 00:00:00,AUDUSD,0.65377,0.65553,0.65377,0.65529,10555,0.649313,0.652489,0.655665,1.006864,0.94098,0.973467,63.842725,0,0.643986,0.0,0.231958,0.29802,-0.344565,0.03361,0.630139,-0.122218,-0.007647,0,4,8,0.0,3,1,0.5192761456736412,0,Weak,1,0
2025.08.14 04:00:00,AUDUSD,0.6553,0.6569,0.65455,0.6551,16160,0.64929,0.652649,0.656007,1.008101,0.864947,1.029254,62.712173,0,0.970451,-2.75,-0.03053,0.302437,-0.3226,0.231958,0.643986,0.001526,0.119308,0,4,9,0.0,3,0,0.2776082092014945,0,None,0,0
2025.08.14 08:00:00,AUDUSD,0.65509,0.65533,0.65249,0.65256,22165,0.64937,0.652696,0.656021,1.004805,0.47963,1.019148,49.972112,0,1.274312,-0.027668,-0.387704,0.313014,-0.307711,-0.03053,0.970451,-0.001526,-0.31472,0,4,10,0.0,1,0,0.13198919741539653,0,None,0,0
2025.08.14 12:00:00,AUDUSD,0.65256,0.65335,0.65027,0.65055,26821,0.649147,0.652602,0.656056,1.00173,0.203064,1.058672,42.597331,0,1.488096,-0.139303,-0.308969,0.325371,-0.298578,-0.387704,1.274312,0.0,-0.340235,0,4,11,0.0,1,0,0.16933254220637262,0,None,0,0
2025.08.14 16:00:00,AUDUSD,0.65055,0.65069,0.64823,0.64879,31397,0.648603,0.652435,0.656267,0.999424,0.024356,1.174567,37.393547,0,1.671467,-0.318182,-0.271274,0.330033,-0.292414,-0.308969,1.488096,0.0,-0.313716,0,5,0,0.0,1,0,0.12848472594792773,0,None,0,0
