timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,label
2011.04.26 04:00:00,EURUSD,1.4506,1.45437,1.45056,1.45264,7728,1.451649,1.456756,1.461862,0.99925,0.097004,0.701027,49.866414,0,0.922113,-0.019608,0.140434,0.329852,1.520862,-0.508751,0.885675,-0.000689,0.087629,0,2,0,25.652605,3,1
2011.05.16 04:00:00,EURUSD,1.40655,1.41065,1.40478,1.40902,11669,1.402765,1.421615,1.440465,1.001437,0.165923,2.65198,35.793342,0,1.094591,-0.716599,0.175299,0.49742,-0.351826,-0.068963,0.760575,-0.000711,-0.09885,0,6,4,23.350982,3,1
2011.05.23 12:00:00,EURUSD,1.39909,1.4039,1.39692,1.40122,8731,1.402426,1.4217,1.440975,0.996074,-0.031278,2.711505,31.332192,0,1.396669,-1.018779,0.15201,0.502812,-1.846816,-0.594621,1.463582,-0.008576,-0.090832,0,6,0,22.924309,1,1
2011.06.13 00:00:00,EURUSD,1.4327,1.4357,1.43208,1.43536,7249,1.431751,1.453005,1.474258,1.00023,0.084912,2.925512,27.266291,0,0.890098,-0.233083,0.185319,0.355307,0.716231,-0.006274,0.000728,-0.131049,-0.174267,0,9,2,24.757552,3,1
2011.06.16 08:00:00,EURUSD,1.41258,1.41573,1.40899,1.41371,20965,1.411955,1.433735,1.455514,0.9979,0.0403,3.038218,24.749667,0,1.578993,-3.176991,0.079932,0.430274,0.684171,-0.442443,0.93149,-0.002124,-0.164386,0,6,0,23.605266,1,1
2011.06.27 04:00:00,EURUSD,1.41172,1.41365,1.41078,1.41226,10115,1.408534,1.426513,1.444492,1.001594,0.103615,2.520654,34.689521,0,0.793944,-1.740741,0.038237,0.440454,-0.314634,-0.497262,0.69172,-0.000708,0.039001,0,4,1,23.526829,3,1
2011.07.12 12:00:00,EURUSD,1.39064,1.4022,1.39023,1.39869,24560,1.388559,1.418194,1.447828,1.001203,0.17093,4.17916,27.076392,1,1.652965,-0.050932,0.575539,0.544338,-0.142741,-0.322152,1.595416,-0.000719,0.471197,1,11,1,22.784892,1,1
2011.07.18 16:00:00,EURUSD,1.40531,1.4095,1.4018,1.40616,41055,1.402968,1.414537,1.426107,0.999168,0.137962,1.63586,40.883019,0,2.344593,-4.129412,0.060448,0.479391,-1.327513,0.018501,1.965851,-0.000712,-0.052049,0,3,0,23.195084,1,1
2011.08.05 00:00:00,EURUSD,1.40905,1.41114,1.40553,1.40923,11171,1.40951,1.423395,1.43728,0.997176,-0.010085,1.950962,33.130482,0,0.738488,-19.555556,0.012773,0.539015,0.236154,-0.529484,1.153996,0.009227,-0.219364,0,6,0,23.362404,3,1
2011.08.11 00:00:00,EURUSD,1.41763,1.41801,1.41224,1.41749,13627,1.411861,1.426105,1.440349,1.000269,0.197595,1.997629,42.679569,0,0.740308,-37.5,-0.009877,0.587821,-0.269247,-0.105812,0.972383,0.001411,-0.316927,0,0,24,23.808986,3,1
