candidate_mode,signal_index,signal_time,entry_price,a_timestamp,b_timestamp,c_timestamp,session,pair,a_open,a_high,a_low,a_close,a_volume,a_bb_touch_strength,a_bb_position,a_bb_width_pct,a_rsi_value,a_rsi_divergence,a_volume_ratio,a_candle_rejection,a_candle_body_pct,a_atr_pct,a_trend_strength,a_prev_candle_body_pct,a_prev_volume_ratio,a_gap_from_prev_close,a_price_momentum,a_prev_was_selloff,a_previous_touches,a_time_since_last_touch,a_support_distance_pct,b_open,b_high,b_low,b_close,b_volume,b_bb_touch_strength,b_bb_position,b_bb_width_pct,b_rsi_value,b_rsi_divergence,b_volume_ratio,b_candle_rejection,b_candle_body_pct,b_atr_pct,b_trend_strength,b_prev_candle_body_pct,b_prev_volume_ratio,b_gap_from_prev_close,b_price_momentum,b_prev_was_selloff,b_previous_touches,b_time_since_last_touch,b_support_distance_pct,c_open,c_high,c_low,c_close,c_volume,c_bb_touch_strength,c_bb_position,c_bb_width_pct,c_rsi_value,c_rsi_divergence,c_volume_ratio,c_candle_rejection,c_candle_body_pct,c_atr_pct,c_trend_strength,c_prev_candle_body_pct,c_prev_volume_ratio,c_gap_from_prev_close,c_price_momentum,c_prev_was_selloff,c_previous_touches,c_time_since_last_touch,c_support_distance_pct,a_bb_event_type,a_bb_event_strength,a_close_above_ubb,a_high_touch_ubb,a_near_upper_bb,a_no_upper_wick_bear_reject,a_failed_break_ubb,a_ubb_distance_close,a_ubb_distance_high,a_upper_wick_size,a_upper_wick_pct,exit_index,final_pnl_pips,hit_tp_first,hit_sl_first,is_profitable
broad_v3,15327,2009-08-20 04:00:00,1.42213,2009-08-19 20:00:00,2009-08-20 00:00:00,2009-08-20 04:00:00,3,EURUSD,1.4253,1.42653,1.42203,1.42228,9489,1.01329,0.912844,1.464575,56.850151,0,0.753801,-0.082781,-0.212335,0.399482,0.187213,0.98855,1.608427,-0.001403,0.773859,0,2,13,24.065585,1.42229,1.42567,1.42131,1.42215,7205,1.012712,0.913411,1.446692,56.677169,0,0.600249,-6.0,-0.009844,0.39288,0.184731,-0.212335,0.753801,0.000703,-0.050632,0,2,14,24.058644,1.42213,1.42382,1.42068,1.42173,9062,1.012361,0.88129,1.476562,56.083429,0,0.75907,-2.625,-0.028135,0.3807,0.181325,-0.009844,0.600249,-0.001406,-0.044325,0,2,15,24.036209,high_touch_ubb,0.8,0,1,0,0,1,0.0018050000000000566,-0.0024450000000000305,0.0012300000000000644,0.27333333333333726,15330,-30.0,0,1,0
broad_v3,15328,2009-08-20 08:00:00,1.42175,2009-08-20 00:00:00,2009-08-20 04:00:00,2009-08-20 08:00:00,1,EURUSD,1.42229,1.42567,1.42131,1.42215,7205,1.012712,0.913411,1.446692,56.677169,0,0.600249,-6.0,-0.009844,0.39288,0.184731,-0.212335,0.753801,0.000703,-0.050632,0,2,14,24.058644,1.42213,1.42382,1.42068,1.42173,9062,1.012361,0.88129,1.476562,56.083429,0,0.75907,-2.625,-0.028135,0.3807,0.181325,-0.009844,0.600249,-0.001406,-0.044325,0,2,15,24.036209,1.42175,1.42502,1.42109,1.4234,15818,1.012943,0.910537,1.589561,57.968862,0,1.266798,-0.4,0.11592,0.372814,0.176507,-0.028135,0.75907,0.001407,0.028859,0,2,16,24.125334,high_touch_ubb,0.8,0,1,0,0,1,0.001770999999999967,-0.0017490000000000006,0.0033799999999999386,0.7752293577981654,15328,-30.0,0,1,0
broad_v3,15337,2009-08-21 20:00:00,1.43202,2009-08-21 12:00:00,2009-08-21 16:00:00,2009-08-21 20:00:00,2,EURUSD,1.42969,1.43517,1.42928,1.43281,13044,1.016348,0.992173,1.88281,65.950481,0,1.107667,-0.13141,0.217754,0.372288,0.193686,0.583343,1.10181,0.0,0.596139,0,0,23,24.623642,1.43284,1.43751,1.42769,1.43202,14795,1.015001,0.906994,1.973694,64.566216,0,1.257725,-5.280488,-0.057262,0.394869,0.201596,0.217754,1.107667,0.002094,-0.111245,0,0,24,24.582059,1.43202,1.43467,1.43131,1.43249,6844,1.01645,0.889483,1.924867,65.036405,0,0.602155,-1.510638,0.03281,0.383297,0.218099,-0.057262,1.257725,0.0,0.253556,0,0,25,24.606804,high_touch_ubb,0.8,0,1,1,0,1,0.00020900000000012575,-0.002151000000000014,0.0023600000000001398,0.4006791171477351,15338,-30.0,0,1,0
broad_v3,15364,2009-08-28 08:00:00,1.43619,2009-08-28 00:00:00,2009-08-28 04:00:00,2009-08-28 08:00:00,1,EURUSD,1.4341,1.43762,1.43409,1.43636,5683,1.008856,1.026885,1.012781,62.849327,0,0.611499,-0.004425,0.157342,0.361633,0.245917,0.517408,1.049582,0.002092,0.587777,0,5,5,24.809936,1.4364,1.43716,1.43524,1.4362,6198,1.009939,0.952815,1.107811,62.542192,0,0.669743,-4.8,-0.013926,0.345388,0.271616,0.157342,0.611499,0.002785,0.08019,0,5,6,24.80156,1.43619,1.4367,1.43251,1.43561,10936,1.008102,0.869394,1.175921,61.351576,0,1.146668,-5.344828,-0.040401,0.341697,0.293847,-0.013926,0.669743,-0.000696,-0.190212,0,5,7,24.770655,close_above_ubb,1.0,1,1,1,0,0,-0.0003889999999999727,-0.0016489999999997895,0.0012599999999998168,0.3569405099149814,15365,20.0,0,1,1
broad_v3,15365,2009-08-28 12:00:00,1.43562,2009-08-28 04:00:00,2009-08-28 08:00:00,2009-08-28 12:00:00,1,EURUSD,1.4364,1.43716,1.43524,1.4362,6198,1.009939,0.952815,1.107811,62.542192,0,0.669743,-4.8,-0.013926,0.345388,0.271616,0.157342,0.611499,0.002785,0.08019,0,5,6,24.80156,1.43619,1.4367,1.43251,1.43561,10936,1.008102,0.869394,1.175921,61.351576,0,1.146668,-5.344828,-0.040401,0.341697,0.293847,-0.013926,0.669743,-0.000696,-0.190212,0,5,7,24.770655,1.43562,1.43749,1.43392,1.43529,10512,1.009184,0.820644,1.229028,60.676885,0,1.088013,-4.151515,-0.022992,0.335127,0.316365,-0.040401,1.146668,0.000697,0.098429,0,5,8,24.753882,high_touch_ubb,0.8,0,1,1,0,1,0.0007470000000000532,-0.00021300000000001873,0.0007600000000000939,0.3958333333333984,15366,0.0,0,1,0
broad_v3,15402,2009-09-07 16:00:00,1.4331,2009-09-07 08:00:00,2009-09-07 12:00:00,2009-09-07 16:00:00,1,EURUSD,1.4334,1.4358,1.432,1.4343,9168,1.00872,0.966469,1.06421,59.115701,0,1.180576,-1.555556,0.062748,0.320353,0.292512,0.069764,0.606659,0.0,0.013968,0,1,19,24.701945,1.4342,1.4354,1.4325,1.433,7335,1.008546,0.848419,1.043266,56.797527,0,0.936644,-0.416667,-0.08374,0.312196,0.292872,0.062748,1.180576,-0.006972,0.034916,0,0,20,24.633636,1.4331,1.4346,1.4329,1.4335,6127,1.008448,0.845465,1.043683,57.488031,0,0.801811,-0.5,0.027904,0.298266,0.290024,-0.08374,0.936644,0.006978,0.027923,0,0,21,24.659923,high_touch_ubb,0.8,0,1,1,0,1,0.0005090000000000927,-0.0009909999999999641,0.0015000000000000568,0.3947368421052755,15403,0.0,0,0,0
broad_v3,15410,2009-09-09 00:00:00,1.4477,2009-09-08 16:00:00,2009-09-08 20:00:00,2009-09-09 00:00:00,3,EURUSD,1.4495,1.4533,1.4459,1.4519,13250,1.019999,1.144653,2.094746,75.84701,0,1.761535,-1.5,0.165301,0.328323,0.378559,0.510521,1.647205,0.0,0.319156,0,0,27,25.614712,1.4518,1.4519,1.4477,1.4477,6950,1.021497,0.936472,2.269519,67.797969,0,0.946944,0.0,-0.283208,0.326478,0.401416,0.165301,1.761535,-0.006888,0.12449,0,0,28,25.398909,1.4477,1.4508,1.4475,1.4504,4497,1.021319,0.949382,2.431215,70.001903,0,0.646985,-0.074074,0.186156,0.318846,0.424504,-0.283208,0.946944,0.0,-0.013815,0,0,29,25.537783,close_above_ubb,1.0,1,1,1,0,0,-0.004340999999999928,-0.005740999999999996,0.0014000000000000679,0.1891891891891965,15410,-30.0,0,1,0
broad_v3,15416,2009-09-10 00:00:00,1.4557,2009-09-09 16:00:00,2009-09-09 20:00:00,2009-09-10 00:00:00,3,EURUSD,1.455,1.4599,1.455,1.4572,2553,1.024496,0.932218,2.755391,73.451844,0,0.356709,0.0,0.150974,0.32858,0.466274,0.384853,0.888868,-0.006872,0.441806,0,0,33,25.885259,1.4571,1.4572,1.4533,1.4556,1727,1.021553,0.863,2.649277,70.357093,0,0.253683,-1.533333,-0.10305,0.324583,0.482866,0.150974,0.356709,-0.006862,-0.116838,0,0,34,25.803792,1.4557,1.4573,1.4544,1.4555,943,1.021575,0.824645,2.673684,70.158133,0,0.152451,-5.5,-0.013741,0.315651,0.502769,-0.10305,0.253683,0.00687,0.07569,0,0,35,25.798695,high_touch_ubb,0.8,0,1,0,0,1,0.002689999999999859,-1.0000000000065512e-05,0.0026999999999999247,0.5510204081632607,15418,0.0,0,1,0
broad_v3,15434,2009-09-15 00:00:00,1.46172,2009-09-14 16:00:00,2009-09-14 20:00:00,2009-09-15 00:00:00,3,EURUSD,1.45615,1.46511,1.45528,1.46218,13117,1.001632,1.115589,0.570319,67.037428,1,3.477189,-0.144279,0.412398,0.359689,0.935983,0.100952,2.550569,0.000687,0.212092,0,0,51,26.137685,1.46224,1.46366,1.45974,1.4617,6986,1.00472,0.977167,0.619121,65.898663,0,1.842421,-3.62963,-0.036943,0.353262,0.97428,0.412398,3.477189,0.004103,0.30647,0,0,52,26.11343,1.46172,1.46462,1.46162,1.46264,4097,1.006202,0.991935,0.693579,67.078095,0,1.058944,-0.108696,0.0629,0.342469,0.999477,-0.036943,1.842421,0.001368,0.12879,0,0,53,26.160915,close_above_ubb,1.0,1,1,1,0,0,-0.0009609999999999896,-0.003890999999999867,0.002929999999999877,0.29806714140385304,15437,10.0,0,1,1
broad_v3,15436,2009-09-15 08:00:00,1.46206,2009-09-15 00:00:00,2009-09-15 04:00:00,2009-09-15 08:00:00,1,EURUSD,1.46172,1.46462,1.46162,1.46264,4097,1.006202,0.991935,0.693579,67.078095,0,1.058944,-0.108696,0.0629,0.342469,0.999477,-0.036943,1.842421,0.001368,0.12879,0,0,53,26.160915,1.46263,1.46302,1.46029,1.46205,5722,1.005235,0.882866,0.727498,65.545756,0,1.406346,-3.034483,-0.03967,0.331472,1.029236,0.0629,1.058944,-0.000684,-0.090995,0,0,54,26.131117,1.46206,1.46403,1.45915,1.46071,9350,1.004268,0.732095,0.726984,62.077238,0,2.082846,-1.155556,-0.092421,0.331941,1.059006,-0.03967,1.406346,0.000684,-0.078067,0,0,55,26.063353,high_touch_ubb,0.8,0,1,1,0,1,8.200000000013752e-05,-0.0018979999999999553,0.001980000000000093,0.6600000000000059,15437,10.0,0,1,1
broad_v3,15438,2009-09-15 16:00:00,1.45795,2009-09-15 08:00:00,2009-09-15 12:00:00,2009-09-15 16:00:00,1,EURUSD,1.46206,1.46403,1.45915,1.46071,9350,1.004268,0.732095,0.726984,62.077238,0,2.082846,-1.155556,-0.092421,0.331941,1.059006,-0.03967,1.406346,0.000684,-0.078067,0,0,55,26.063353,1.46072,1.46242,1.45611,1.45791,10937,1.002156,0.465987,0.725796,55.471693,0,2.198878,-0.640569,-0.192742,0.339738,1.084734,-0.092421,2.082846,0.000685,-0.20834,0,0,56,25.921353,1.45795,1.46361,1.45682,1.46361,13032,1.002552,0.940957,0.764825,63.894411,0,2.351222,-0.199647,0.386715,0.34738,1.106326,-0.192742,2.198878,0.002744,0.04876,0,0,57,26.209851,high_touch_ubb,0.8,0,1,0,0,1,0.0028399999999999537,-0.00048000000000003595,0.0019700000000000273,0.4036885245901699,15438,-30.0,0,1,0
broad_v3,15442,2009-09-16 08:00:00,1.46693,2009-09-16 00:00:00,2009-09-16 04:00:00,2009-09-16 08:00:00,1,EURUSD,1.4657,1.4681,1.46552,1.46783,4373,1.009181,1.06187,1.009293,68.783354,0,0.740734,-0.084507,0.145112,0.335892,1.169546,0.143274,1.369665,-0.001365,0.171564,0,0,59,26.421997,1.46785,1.46825,1.46619,1.46694,5862,1.009775,0.934192,1.095566,66.65744,0,0.956546,-0.824176,-0.062034,0.32212,1.207016,0.145112,0.740734,0.001363,0.045718,0,0,60,26.377357,1.46693,1.47113,1.46693,1.47035,10772,1.010558,1.03526,1.239717,70.428664,0,1.625116,0.0,0.232598,0.318821,1.244914,-0.062034,0.956546,-0.000682,0.050471,0,0,61,26.548101,close_above_ubb,1.0,1,1,1,0,0,-0.0009109999999998841,-0.0011809999999998766,0.00026999999999999247,0.10465116279069367,15442,-30.0,0,1,0
broad_v3,15444,2009-09-16 16:00:00,1.46851,2009-09-16 08:00:00,2009-09-16 12:00:00,2009-09-16 16:00:00,1,EURUSD,1.46693,1.47113,1.46693,1.47035,10772,1.010558,1.03526,1.239717,70.428664,0,1.625116,0.0,0.232598,0.318821,1.244914,-0.062034,0.956546,-0.000682,0.050471,0,0,61,26.548101,1.47037,1.47082,1.46526,1.46856,9910,1.009586,0.888315,1.326272,66.19614,0,1.403365,-1.823204,-0.12325,0.323452,1.28625,0.232598,1.625116,0.00136,-0.113843,0,0,62,26.458572,1.46851,1.4732,1.46412,1.47012,14570,1.008862,0.909627,1.418604,68.000997,0,1.895112,-2.726708,0.109515,0.344146,1.321229,-0.12325,1.403365,-0.003405,-0.077802,0,0,63,26.536609,close_above_ubb,1.0,1,1,1,0,0,-0.0006380000000001385,-0.0014180000000001414,0.0007800000000000029,0.18571428571428722,15444,-30.0,0,1,0
broad_v3,15450,2009-09-17 16:00:00,1.47051,2009-09-17 08:00:00,2009-09-17 12:00:00,2009-09-17 16:00:00,1,EURUSD,1.47266,1.47652,1.47241,1.4733,10492,1.013309,0.871353,1.584997,71.760162,0,1.225479,-0.390625,0.04344,0.310816,1.485427,0.108648,0.695452,0.001358,0.122398,0,0,67,26.695174,1.47331,1.47473,1.46958,1.47051,9852,1.010307,0.731164,1.485982,63.953435,0,1.128496,-0.332143,-0.19041,0.314178,1.523087,0.04344,1.225479,0.000679,-0.192202,0,0,68,26.556093,1.47051,1.47589,1.46879,1.47149,12822,1.008553,0.759124,1.361596,65.378195,0,1.451035,-1.755102,0.066599,0.326007,1.557652,-0.19041,1.128496,0.0,-0.053757,0,0,69,26.605006,high_touch_ubb,0.8,0,1,0,0,1,0.002986999999999851,-0.00023300000000014975,0.0032200000000000006,0.7834549878345389,15450,-30.0,0,1,0
broad_v3,15469,2009-09-22 20:00:00,1.47798,2009-09-22 12:00:00,2009-09-22 16:00:00,2009-09-22 20:00:00,2,EURUSD,1.47849,1.48203,1.4773,1.47937,8953,1.009406,1.066726,1.009201,67.390094,0,1.117714,-1.352273,0.059485,0.324473,1.935226,0.478873,1.304755,0.001353,0.455596,0,3,5,26.995951,1.4794,1.48148,1.47689,1.47799,11329,1.009348,0.926014,1.084726,64.338111,0,1.406988,-0.780142,-0.0954,0.323761,1.955088,0.059485,1.117714,0.002028,-0.027753,0,3,6,26.927787,1.47798,1.48015,1.47789,1.4789,6718,1.010202,0.92152,1.175052,65.449305,0,0.850891,-0.097826,0.062208,0.311365,1.969406,-0.0954,1.406988,-0.000677,0.06771,0,3,7,26.97275,close_above_ubb,1.0,1,1,1,0,0,-0.0009909999999999641,-0.003650999999999849,0.0026599999999998847,0.5623678646934335,15470,-30.0,0,1,0
broad_v3,15528,2009-10-06 16:00:00,1.47178,2009-10-06 08:00:00,2009-10-06 12:00:00,2009-10-06 16:00:00,1,EURUSD,1.47103,1.4747,1.47019,1.47278,11592,1.015024,1.05161,1.586073,65.168393,0,1.343019,-0.48,0.118823,0.344774,0.850304,0.34126,0.997634,0.00068,0.294706,0,7,11,26.669292,1.47274,1.47442,1.47059,1.47179,8933,1.015697,0.944698,1.734121,63.323318,0,1.01229,-1.263158,-0.064547,0.33895,0.833366,0.118823,1.343019,-0.002716,0.027207,0,7,12,26.619966,1.47178,1.47609,1.46972,1.47206,12903,1.015211,0.899415,1.853533,63.625789,0,1.454105,-7.357143,0.019021,0.345591,0.811495,-0.064547,1.01229,-0.000679,-0.05916,0,6,13,26.633425,close_above_ubb,1.0,1,1,1,0,0,-0.0011950000000000571,-0.003114999999999979,0.0019199999999999218,0.42572062084257434,15528,-30.0,0,1,0
