timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,label
2013.03.06 04:00:00,EURUSD,1.30632,1.30684,1.30571,1.30641,1994,1.298492,1.303449,1.308407,1.005558,0.798609,0.760621,51.047974,0,0.527492,-6.777778,0.006889,0.273697,-1.879399,0.093392,0.507304,0,0.117315,0,2,15,17.3307,3,0
2013.03.06 08:00:00,EURUSD,1.30648,1.30698,1.30324,1.30325,2245,1.298596,1.303255,1.307914,1.003576,0.499463,0.714975,44.821298,0,0.611067,-0.003096,-0.247842,0.275262,-1.8955,0.006889,0.527492,0.005358,-0.189169,0,2,16,17.130251,1,1
2013.03.25 00:00:00,EURUSD,1.29724,1.30472,1.29724,1.30345,7313,1.284811,1.292797,1.300784,1.009674,1.166876,1.235595,65.964751,0,0.850502,0,0.476428,0.354565,-1.529641,0.100872,0.474,-0.110113,-0.008479,0,0,20,17.142967,3,0
2013.03.25 04:00:00,EURUSD,1.30345,1.3042,1.30175,1.30381,4784,1.284835,1.293652,1.302469,1.013165,1.076055,1.363098,66.40404,0,0.572146,-4.722222,0.027611,0.342571,-1.506224,0.476428,0.850502,0,0.347661,0,0,21,17.165845,3,0
2013.03.25 08:00:00,EURUSD,1.30377,1.30479,1.29845,1.30169,9972,1.285335,1.294356,1.303377,1.010203,0.906503,1.393873,61.379851,0,1.159393,-1.557692,-0.159792,0.353409,-1.490543,0.027611,0.572146,-0.003068,-0.253505,0,0,22,17.030937,1,1
2013.04.17 04:00:00,EURUSD,1.31801,1.31875,1.31705,1.31812,5263,1.300776,1.310052,1.319329,1.012511,0.934847,1.416164,64.20596,0,0.61731,-8.727273,0.008345,0.319088,0.712355,0.022003,0.594869,0.002276,0.003797,0,4,4,18.065123,3,0
2013.04.17 08:00:00,EURUSD,1.31814,1.31995,1.31525,1.319,10627,1.300389,1.310451,1.320513,1.011428,0.924837,1.53558,65.221158,0,1.20736,-3.360465,0.065201,0.32155,0.74663,0.008345,0.61731,0.001517,-0.136669,0,4,5,18.119788,1,0
2013.04.17 12:00:00,EURUSD,1.31899,1.31934,1.31158,1.3135,12896,1.300404,1.310541,1.320678,1.008594,0.645957,1.546921,54.766297,0,1.398054,-0.349727,-0.417967,0.342032,0.777819,0.065201,1.20736,-0.000758,-0.279034,0,4,6,17.776932,1,1
2013.05.01 08:00:00,EURUSD,1.31621,1.31945,1.31619,1.31915,5164,1.297748,1.308738,1.319729,1.014211,0.973642,1.679616,70.651184,0,0.739595,-0.006803,0.222871,0.266548,0.561384,-0.111684,0.582502,0,0.010638,0,0,30,18.129098,1,0
2013.05.01 12:00:00,EURUSD,1.31916,1.32427,1.31865,1.3226,7911,1.297445,1.309694,1.321944,1.016343,1.026791,1.870536,74.295346,0,1.12649,-0.148256,0.260094,0.277215,0.576183,0.222871,0.739595,0.000758,0.186903,0,0,31,18.342658,1,0
