combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_filters,d1_min_rsi,d1_min_bb_position,d1_require_close_above_ubb,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
95,55,close_above_ubb,85,10,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
93,55,close_above_ubb,85,8,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
197,58,close_above_ubb,85,8,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
199,58,close_above_ubb,85,10,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
301,60,close_above_ubb,85,8,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
303,60,close_above_ubb,85,10,2,3,TRUE,60,0,TRUE,111,51,60,45.95,-260.3,-2.35,0.818,350.5,-2.35
177,58,close_above_ubb,85,8,2,3,TRUE,55,0,FALSE,331,142,189,42.9,-773.1,-2.34,0.809,929,-2.34
179,58,close_above_ubb,85,10,2,3,TRUE,55,0,FALSE,331,142,189,42.9,-773.3,-2.34,0.809,929,-2.34
281,60,close_above_ubb,85,8,2,3,TRUE,55,0,FALSE,330,141,189,42.73,-783.1,-2.37,0.807,929,-2.37
283,60,close_above_ubb,85,10,2,3,TRUE,55,0,FALSE,330,141,189,42.73,-783.3,-2.37,0.807,929,-2.37
78,55,close_above_ubb,85,8,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
80,55,close_above_ubb,85,10,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
182,58,close_above_ubb,85,8,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
184,58,close_above_ubb,85,10,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
286,60,close_above_ubb,85,8,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
288,60,close_above_ubb,85,10,2,5,TRUE,55,0,TRUE,115,53,62,46.09,-284.4,-2.47,0.806,384.6,-2.47
73,55,close_above_ubb,85,8,2,3,TRUE,55,0,FALSE,335,144,191,42.99,-811.4,-2.42,0.803,929,-2.42
178,58,close_above_ubb,85,8,2,5,TRUE,55,0,FALSE,331,139,192,41.99,-779.4,-2.35,0.802,1020.2,-2.35
75,55,close_above_ubb,85,10,2,3,TRUE,55,0,FALSE,335,144,191,42.99,-811.6,-2.42,0.802,929,-2.42
180,58,close_above_ubb,85,10,2,5,TRUE,55,0,FALSE,331,139,192,41.99,-779.6,-2.36,0.801,1020.2,-2.36
282,60,close_above_ubb,85,8,2,5,TRUE,55,0,FALSE,330,138,192,41.82,-789.4,-2.39,0.799,1020.2,-2.39
284,60,close_above_ubb,85,10,2,5,TRUE,55,0,FALSE,330,138,192,41.82,-789.6,-2.39,0.799,1020.2,-2.39
89,55,close_above_ubb,85,8,2,3,TRUE,60,0,FALSE,252,110,142,43.65,-629.3,-2.5,0.797,752.6,-2.5
91,55,close_above_ubb,85,10,2,3,TRUE,60,0,FALSE,252,110,142,43.65,-629.3,-2.5,0.797,752.6,-2.5
94,55,close_above_ubb,85,8,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
96,55,close_above_ubb,85,10,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
198,58,close_above_ubb,85,8,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
200,58,close_above_ubb,85,10,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
302,60,close_above_ubb,85,8,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
304,60,close_above_ubb,85,10,2,5,TRUE,60,0,TRUE,111,51,60,45.95,-284.4,-2.56,0.797,374.6,-2.56
74,55,close_above_ubb,85,8,2,5,TRUE,55,0,FALSE,335,141,194,42.09,-817.7,-2.44,0.795,1020.2,-2.44
76,55,close_above_ubb,85,10,2,5,TRUE,55,0,FALSE,335,141,194,42.09,-817.9,-2.44,0.795,1020.2,-2.44
193,58,close_above_ubb,85,8,2,3,TRUE,60,0,FALSE,251,109,142,43.43,-649.3,-2.59,0.791,752.6,-2.59
195,58,close_above_ubb,85,10,2,3,TRUE,60,0,FALSE,251,109,142,43.43,-649.3,-2.59,0.791,752.6,-2.59
297,60,close_above_ubb,85,8,2,3,TRUE,60,0,FALSE,250,108,142,43.2,-659.3,-2.64,0.788,752.6,-2.64
299,60,close_above_ubb,85,10,2,3,TRUE,60,0,FALSE,250,108,142,43.2,-659.3,-2.64,0.788,752.6,-2.64
90,55,close_above_ubb,85,8,2,5,TRUE,60,0,FALSE,252,107,145,42.46,-677,-2.69,0.777,821.1,-2.69
92,55,close_above_ubb,85,10,2,5,TRUE,60,0,FALSE,252,107,145,42.46,-677,-2.69,0.777,821.1,-2.69
194,58,close_above_ubb,85,8,2,5,TRUE,60,0,FALSE,251,106,145,42.23,-697,-2.78,0.77,821.1,-2.78
196,58,close_above_ubb,85,10,2,5,TRUE,60,0,FALSE,251,106,145,42.23,-697,-2.78,0.77,821.1,-2.78
298,60,close_above_ubb,85,8,2,5,TRUE,60,0,FALSE,250,105,145,42,-707,-2.83,0.767,821.1,-2.83
300,60,close_above_ubb,85,10,2,5,TRUE,60,0,FALSE,250,105,145,42,-707,-2.83,0.767,821.1,-2.83
13,55,touch_only,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
16,55,touch_only,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
15,55,touch_only,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
14,55,touch_only,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
18,55,touch_only,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
17,55,touch_only,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
20,55,touch_only,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
